Date,Price,f000_settle,f001_settle,f002_settle,f003_settle,f004_settle,f005_settle,f006_settle,f007_settle,f008_settle,f009_settle,f010_settle,f011_settle,f012_settle,f013_settle,f014_settle,f015_settle,f016_settle,f017_settle,f018_settle,f019_settle,f020_settle,f021_settle,f022_settle,f023_settle,f024_settle,f025_settle,f026_settle,f027_settle,f028_settle,f029_settle,f030_settle,f031_settle,f032_settle,f033_settle,f034_settle,f035_settle,f036_settle,f037_settle,f038_settle,f039_settle,f040_settle,f041_settle,f042_settle,f043_settle,f044_settle,f045_settle,f046_settle,f047_settle,f048_settle,f049_settle,f050_settle,f051_settle,f052_settle,f053_settle,f054_settle,f055_settle,f056_settle,f057_settle,f058_settle,f059_settle,f060_settle,f061_settle,f062_settle,f063_settle,f064_settle,f065_settle,f066_settle,f067_settle,f068_settle,f069_settle,f070_settle,f071_settle,f072_settle,f073_settle,f074_settle,f075_settle,f076_settle,f077_settle,f078_settle,f079_settle,f080_settle,f081_settle,f082_settle,f083_settle,f084_settle,f085_settle,f086_settle,f087_settle,f088_settle,f089_settle,f090_settle,f091_settle,f092_settle,f093_settle,f094_settle,f095_settle,f096_settle,f097_settle,f098_settle,f099_settle,f100_settle,f101_settle,f102_settle,f103_settle,f104_settle,f105_settle,f106_settle,f107_settle,f108_settle,f109_settle,f110_settle,f111_settle,f112_settle,f113_settle,f114_settle,f115_settle,f116_settle,f117_settle,f118_settle,f119_settle,f120_settle,f121_settle,f122_settle,f123_settle,f124_settle,f125_settle,f126_settle,f127_settle,f128_settle,f129_settle,f130_settle,f131_settle,f132_settle,f133_settle,f134_settle,f135_settle,f136_settle,f137_settle
2008-12-01,457.0324968000001,56.29,51.91,0.6421,31.4,31.83,1.4924,1.4938,348.75,360.0,370.75,0.8093,0.8115,49.28,50.68,52.0,14.25,14.13,1.2662,1.2664,98.15,98.175,98.155,814.5,99.565,99.6,117.6875,776.8,778.0,1.6175,1.631,1.6151,1.6421,10769.0,10808.0,554.0,564.5,188.0,201.8,85.725,87.55,65.35,72.4,460.05,458.25,71400.0,69850.0,0.5297,6.604,6.636,6.593,7870.0,7870.0,1096.75,217.5,227.0,175.65,809.9,1.1112,1.1457,13.06,13.335,416.2,846.0,854.25,863.75,0.8369,9.355,250.5,251.7,814.4,814.1,108.375,122.53125,130.640625,129.375,528.0,541.75,554.75,8109.0,8079.0,4401.5,4429.5,2289.0,2239.0,122.88,122.84,115.35,115.695,107.05,107.195,78.2,78.05,47.97,50.05,51.92,2164.0,47.03,47.03,87.635,88.26,512.75,523.25,113.55,116.1,56.26,57.15,1.4902,1.4899,1.6151,1.6421,71.4,75.85,11.65,12.09,49.28,50.68,1479.0,1477.0,97.33,97.585,97.58,97.78,117.8,118.52,4014.5,3996.5,588.0,593.0,514.4,516.4,12545.0,12560.0,28410.0,27300.0,11655.0,10690.0,9540.0,9650.0
2008-12-02,465.5301029,55.3,51.78,0.6354,30.77,31.2,1.4895,1.4911,348.25,359.5,370.0,0.7993,0.8014,46.96,48.43,49.84,14.36,14.15,1.2688,1.2688,98.2,98.205,98.175,847.75,99.595,99.64,117.84375,783.3,784.5,1.59,1.6005,1.5832,1.6092,10778.0,10816.0,555.0,565.5,185.6,199.0,84.95,86.525,65.475,72.15,480.65,480.65,71580.0,70250.0,0.5248,6.424,6.452000000000001,6.426,8230.0,8230.0,1135.25,222.0,231.5,173.7,807.3,1.0583,1.0947,12.99,13.255,438.4,827.0,834.5,844.0,0.8340000000000001,9.586,245.3,246.3,847.7,847.1,108.21875,122.78125,131.234375,130.0625,528.5,542.25,555.5,8405.0,8382.0,4586.0,4615.0,2366.0,2315.0,123.94,123.82,115.515,115.83,107.115,107.195,77.1,76.75,45.44,47.64,49.58,2170.0,46.33,46.37,87.6,88.225,497.25,508.0,111.9,114.5,54.33,54.88,1.4879,1.4888,1.5832,1.6092,72.0,76.35,11.62,12.08,46.96,48.43,1479.0,1477.0,97.375,97.64,97.73,97.93,119.23,119.95,4089.5,4064.0,591.5,594.5,504.8,504.8,12185.0,12215.0,28260.0,27040.0,11190.0,10300.0,9510.0,9630.0
2008-12-03,482.0605754,55.21,51.21,0.6387,30.58,30.98,1.4734,1.4757,348.25,359.25,369.75,0.7942,0.7957,46.79,48.32,49.87,14.23,14.0,1.2641,1.2644,98.21,98.235,98.185,867.25,99.63,99.645,118.1875,770.5,771.8,1.5455,1.5545,1.584,1.608,10784.0,10821.0,546.0,556.5,184.0,195.6,84.075,86.05,64.375,70.875,489.6,489.6,71550.0,70200.0,0.5225,6.347,6.371,6.35,8360.0,8360.0,1158.25,221.0,230.5,174.25,805.1,1.0415,1.0795,13.205,13.4,451.1,830.0,835.0,843.0,0.8289,9.56,246.7,246.8,867.3,866.8,108.1640625,123.46875,131.953125,130.78125,519.75,533.25,546.25,8554.0,8539.0,4610.0,4638.0,2378.0,2325.0,124.4,123.65,115.47,115.775,107.175,107.225,76.1,76.05,45.44,47.8,49.86,2183.0,46.6,46.55,87.99,88.61,488.0,500.0,111.25,113.8,54.29,55.03,1.4713,1.4691,1.584,1.608,73.6,77.45,11.16,11.62,46.79,48.32,1500.0,1498.0,97.45,97.715,97.77,97.96,119.7,120.42,4146.0,4117.5,590.75,593.75,497.7,497.7,11715.0,11830.0,27800.0,26530.0,10605.0,10050.0,9500.0,9590.0
2008-12-04,472.3958588,57.62,53.94,0.6413,29.5,29.87,1.4746,1.4769,334.0,345.0,355.25,0.7836,0.7856,43.67,45.21,46.86,14.17,13.79,1.2779,1.278,98.165,98.215,98.175,846.5,99.66,99.655,118.625,765.5,766.9,1.464,1.4695,1.5091,1.5346,10861.0,10899.0,513.0,523.5,178.9,189.6,83.075,85.125,63.65,69.85,477.4,477.4,72050.0,70700.0,0.5289,6.017,6.05,6.045,7975.0,7975.0,1137.25,213.5,223.0,172.25,798.8,0.9695,1.01,13.69,13.695,439.4,811.0,815.5,823.75,0.8408,9.491,245.5,245.4,846.4,845.5,108.2265625,124.359375,133.875,132.703125,486.0,499.5,512.25,8379.0,8372.0,4619.5,4648.0,2388.0,2336.0,123.88,123.06,115.18,115.425,107.055,107.16,74.15,74.05,42.28,44.65,46.8,2248.0,43.6,43.55,87.33,87.95,489.75,500.5,106.15,108.75,55.05,55.44,1.4696,1.4698,1.5091,1.5346,73.3,76.2,10.8,11.33,43.67,45.21,1534.0,1534.0,97.385,97.58,97.61,97.78,119.4,120.12,4140.0,4111.0,564.25,566.5,490.1,490.1,11250.0,11240.0,26760.0,25530.0,10055.0,9735.0,9145.0,9225.0
2008-12-05,471.9222411,56.75,53.58,0.6404,28.55,28.93,1.4696,1.4717,309.25,319.25,328.75,0.7823,0.7843,40.81,42.93,44.76,14.13,13.63,1.2671,1.2673,98.04,98.045,97.995,871.5,99.695,99.67,117.890625,752.2,753.7,1.3665,1.3735,1.4265,1.4578,10783.0,10821.0,503.25,513.25,178.9,189.7,81.45,83.375,64.2,69.375,490.9,490.9,71850.0,70500.0,0.5285,5.742000000000001,5.767,5.767,8180.0,8180.0,1180.0,199.0,208.5,162.7,787.2,0.9012,0.9482,14.13,13.93,454.3,783.5,787.25,794.75,0.8219,9.401,238.3,237.8,871.5,870.9,108.203125,123.046875,133.421875,132.25,475.5,488.5,501.5,8594.0,8587.0,4393.0,4420.5,2256.0,2203.0,124.4,123.5,115.355,115.6,107.175,107.28,71.25,70.85,39.74,42.12,44.32,2141.0,41.37,41.24,88.145,88.545,447.5,459.25,103.2,105.8,54.82,55.1,1.4679,1.4671,1.4265,1.4578,73.1,74.95,10.57,11.11,40.81,42.93,1490.0,1494.0,97.365,97.61,97.65,97.8,119.72,120.44,3993.0,3967.0,551.0,552.75,496.3,496.3,10685.0,10590.0,25450.0,24270.0,9965.0,9150.0,8665.0,8715.0
2008-12-08,472.0731465,54.67,52.72,0.6634,29.77,30.16,1.4932,1.4947,330.0,340.5,350.25,0.799,0.8009,43.71,46.36,48.62,14.35,13.73,1.2928,1.2924,98.11,98.125,98.045,904.25,99.695,99.66,117.59375,769.3,771.1,1.4885,1.4980000000000002,1.4904,1.5216,10789.0,10827.0,517.0,526.5,179.6,191.4,82.675,84.8,64.125,69.925,517.2,517.2,72750.0,71400.0,0.5427,5.566,5.612,5.63,8660.0,8660.0,1214.5,208.0,217.5,175.2,843.3,0.9618,1.0178,14.49,14.28,478.2,820.5,825.5,835.0,0.8345,9.94,247.7,247.8,904.2,903.7,108.078125,122.765625,133.46875,132.296875,490.5,503.75,516.75,8858.0,8851.0,4765.5,4796.0,2459.0,2407.0,123.02,122.13,114.385,114.63,106.605,106.71,75.15,74.9,43.42,45.82,48.09,2289.0,44.34,44.18,86.45,86.92,457.0,469.0,109.5,112.1,54.0,54.53,1.4922,1.4907,1.4904,1.5216,73.75,75.6,11.25,11.75,43.71,46.36,1558.0,1559.0,97.25,97.445,97.61,97.78,118.24,118.96,4273.0,4247.5,568.25,569.0,516.4,518.4,10460.0,10565.0,25150.0,23900.0,9865.0,9190.0,8900.0,8970.0
2008-12-09,472.13490830000006,55.38,53.33,0.6551,29.81,30.19,1.4742,1.4753,327.75,338.5,348.5,0.7919,0.7929999999999999,42.07,44.66,46.86,14.34,13.7,1.2888,1.2878,98.275,98.26,98.17,889.0,99.745,99.72,118.03125,774.2,775.9,1.432,1.4435,1.4369,1.4679,10895.0,10929.0,515.0,524.75,171.1,186.8,82.275,84.175,64.125,69.15,505.5,505.5,71930.0,70580.0,0.5354,5.579,5.6320000000000014,5.665,8605.0,8605.0,1219.0,208.0,217.5,179.5,812.5,0.9364,0.9899,14.34,14.16,465.5,813.0,818.25,827.75,0.8331,9.815,244.8,245.0,888.9,888.2,108.2578125,123.34375,134.359375,133.1875,489.5,502.75,515.25,8704.0,8698.0,4807.5,4838.5,2490.0,2439.0,122.17,121.24,113.915,114.16,106.495,106.6,75.85,75.7,41.53,44.05,46.44,2257.0,42.95,42.78,86.805,87.25,452.75,466.0,109.85,112.45,53.72,54.45,1.4736,1.4706,1.4369,1.4679,75.6,76.35,11.22,11.64,42.07,44.66,1556.0,1555.0,97.215,97.39,97.67,97.81,118.29,119.01,4353.0,4331.0,568.5,566.0,510.5,512.5,10335.0,10305.0,25400.0,23800.0,9975.0,9020.0,9135.0,9170.0
2008-12-10,472.5195676,54.44,52.76,0.6504,30.85,31.23,1.4756,1.4765,342.0,352.75,363.0,0.7929999999999999,0.7943,43.52,46.02,48.04,14.3,13.72,1.298,1.2966,98.36,98.34,98.25,895.25,99.735,99.72,117.921875,808.8,810.5,1.4815,1.4955,1.4027,1.4357,10829.0,10862.0,531.25,541.5,167.9,182.2,83.8,85.475,63.125,68.6,516.2,516.2,72600.0,71250.0,0.5365,5.686,5.746,5.794,8820.0,8820.0,1219.0,210.0,219.5,185.75,840.0,0.9687,1.0212,14.08,14.0,472.6,829.5,834.75,844.5,0.8386,10.165,248.0,248.4,895.2,894.5,108.1484375,122.796875,133.796875,132.625,509.5,522.5,535.0,8692.0,8682.0,4833.0,4862.5,2503.0,2452.0,122.48,121.6,114.195,114.395,106.595,106.7,79.15,79.2,42.4,45.04,47.32,2382.0,43.67,43.48,86.285,86.775,440.25,452.5,111.05,113.65,56.81,57.56,1.4757,1.4732,1.4027,1.4357,76.45,76.3,11.62,12.12,43.52,46.02,1625.0,1620.0,97.295,97.475,97.81,97.97,118.43,119.15,4331.5,4308.0,591.25,589.25,521.8,523.8,10480.0,10500.0,25860.0,24180.0,10210.0,9280.0,9295.0,9355.0
2008-12-11,473.1390848,55.32,53.38,0.6663,31.72,32.09,1.4948,1.4949,351.5,362.5,372.75,0.8105,0.8119,47.98,50.84,52.97,13.75,13.3,1.3282,1.3263,98.485,98.455,98.36,874.5,99.705,99.72,118.234375,826.6,828.2,1.4985,1.5119999999999998,1.5066,1.5396,10923.0,10956.0,534.0,543.75,171.1,185.4,83.825,85.675,62.375,67.85,492.3,492.3,74050.0,72700.0,0.5445,5.598,5.658,5.707999999999998,8660.0,8660.0,1190.0,209.5,219.0,184.2,845.5,1.0786,1.1296,14.55,14.5,448.4,856.5,860.5,870.0,0.8459,10.39,256.3,255.8,874.5,873.8,108.3203125,123.96875,134.421875,133.25,507.5,520.75,533.5,8570.0,8560.0,4790.5,4818.5,2492.0,2442.0,122.42,121.59,114.46,114.66,106.765,106.87,84.55,84.9,47.92,50.47,52.524,2400.0,44.46,44.79,84.62,85.05,466.25,479.75,112.7,115.15,62.29,63.54,1.494,1.4924,1.5066,1.5396,77.85,77.1,11.89,12.38,47.98,50.84,1634.0,1629.0,97.325,97.555,97.83,97.95,118.23,118.95,4354.5,4330.5,588.75,586.0,503.6,505.6,10725.0,10800.0,26120.0,24510.0,10210.0,9330.0,9205.0,9270.0
2008-12-12,467.8063177,54.46,52.8,0.6569,30.92,31.28,1.4948,1.4949,373.5,384.75,395.25,0.8047,0.8059,46.28,49.12,51.54,13.2,13.1,1.334,1.3328,98.455,98.41,98.33,885.5,99.68,99.68,118.234375,820.5,822.0,1.416,1.4285,1.4934,1.5194,11004.0,11040.0,538.25,548.5,173.1,187.5,82.8,84.95,62.275,67.775,511.2,511.2,72200.0,70850.0,0.5405,5.488,5.519,5.5520000000000005,8715.0,8715.0,1215.0,213.5,223.0,175.0,822.1,1.0777,1.1237,14.895,14.885,470.0,854.0,856.25,865.75,0.8521,10.201,257.7,257.0,885.4,884.5,108.2734375,124.34375,134.8125,133.59375,513.0,526.0,538.75,8664.0,8654.0,4696.5,4724.5,2426.0,2377.0,121.56,120.72,113.915,114.115,106.6,106.61,80.2,80.2,47.478,49.996,52.094,2396.0,43.43,44.12,84.28,84.725,458.0,469.25,112.15,114.6,59.57,60.65,1.495,1.4912,1.4934,1.5194,77.45,76.55,11.64,12.16,46.28,49.12,1645.0,1641.0,97.31,97.47,97.82,97.92,118.28,119.0,4237.0,4208.0,590.0,586.75,514.1,514.1,10520.0,10595.0,25600.0,24030.0,10150.0,9330.0,9090.0,9070.0
